KEY,English,French,Spanish,Portuguese,Italian,German,Russian,Chinese,Japanese,Korean
Mahanahae,an envious but harmless anemone. it opens up because it wants your light.,une anémone jalouse de ta lumière mais inoffensive. soleil envieux pour les anciens.,"anémona celoso de tu luz, pero inofensivo.","anêmona ciúmes de sua luz, mas inofensivo.","un anemone gelosa della tua luce, ma innocua.",,,,,
Makonui,humans think this is the scariest and biggest aquatic predator. if only they knew...,plus grand prédateur marin selon les humains. si seulement ils savaient...,los humanos piensan que este es el depredador acuático más peligroso. si supieran...,os seres humanos pensam que este é o predador aquático mais perigoso. se soubessem...,gli esseri umani pensano che questo sia il predatore acquatico più pericoloso del mare. se sapessero...,,,,,
Makotaipo,humans call it the goblin shark. no idea what is a goblin but it must be very mean.,"appelé requin gobelin par les humains, certainement pour son long nez et son agressivité naturelle.","llamado tiburón duende por los humanos, sin duda por su larga nariz y su agresividad natural.","chamado tubarão-duende por humanos, certamente para o seu longo nariz e sua agressividade natural.","chiamato squalo goblin dagli umani, sicuramente per il suo lungo naso e la sua naturale aggressività.",,,,,
Makuru,"the demon shark lives in vast, dark spaces. extremely dangerous.",le requin démon vit dans la vaste obscurité. il est extrêment dangereux!,el tiburón demonio vive en la inmensa oscuridad. extremadamente peligroso.,o tubarão demônio vive na grande escuridão. é extremamente perigoso!,"lo squalo demoniaco vive nella vasta oscurità, è estremamente pericoloso.",,,,,
Mamaitapu,a rare sponge living in sanctuaries. it has the power to stop your light from fading.,une éponge rare vivant dans les sanctuaires. elle protège ta lumière.,una esponja rara que vive en santuarios. protege tu luz cuando estás cerca de ella.,uma esponja rara que vivem em santuários. ele protege a sua luz.,una spugna rara che vive nei santuari. protegge la vostra luce.,,,,,
Mapura,"a very common, low calorie, edible fish.",le poisson ampoule est faible en calories mais il est facilement trouvable.,"el pescado bulbo es baja en calorías, pero es fácil de encontrar.","peixes lâmpada é baixa em calorias, mas é fácil de encontrar.","chiamato pesce lampadina, ha basso contenuto di calorie, ma è facile da trovare.",,,,,
Maramaiti,the ancients called this sea sponge the little moon.,une éponge de mer appelée « petite lune » par les anciens.,"una esponja de mar llamada ""pequeña luna"" por los antiguos.","uma esponja chamada ""lua pequena"" pelos antigos.","una spugna marina chiamata dagli antichi ""piccola luna"".",,,,,
Matakohatu,"called head of stone by the ancients, it is a protector of light. stay close to it for protection.",un protecteur à tête de pierre. nage près de lui et tu ne courras aucun danger.,"llamada cabeza de piedra por los antiguos, es un protector de luz.","cabeça de pedra chamada pelos antigos, é um protetor de luz.","testa di pietra chiamato dagli antichi, è uno scudo di luce.",,,,,
Momona,a beautiful and peaceful creature. just a little bit overweight.,une paisible créature légèrement en surpoids.,una criatura pacífica ligero sobrepeso.,uma criatura pacífica pouco acima do peso.,"una creatura pacifica, un po' in sovrappeso.",,,,,
Mutamara,beware of vast and empty area. the mutamara will see you from miles away.,méfie-toi des ouvertures sur l'obscurité. le mutamara rode et voit loin!,cuidado con la oscuridad. el mutamara te verá desde millas de distancia.,cuidado com a área vasta e vazia. o mutamara vai vê lo de quilômetros de distância.,"attenzione alle vaste e vuote zone, il mutamara vi vedrà da lontano.",,,,,
Nagaratua,the ancients named this bioluminescent coral plateau of the gods. it sticks to the walls of some precipices.,"plateau des dieux en langue des anciens, ce corail bioluminescent s'accroche aux paroies de quelques précipices.",un coral bioluminiscente. se adhiere a las paredes de los precipicios.,coral bioluminescente. ele adere às paredes dos penhascos.,coralli bioluminescenti. aderisce alle pareti delle scogliere.,,,,,
Nakahika,"swims like a snake, bites like a shark. hides in the vast obscurity.","nage comme un serpent, mord comme un requin. aime l'obscurité totale.",él nada como una serpiente y muerde como un tiburón. al igual que la oscuridad total.,ele nada como uma cobra e morde como um tubarão. como a escuridão total.,nuota come un serpente e morde come uno squalo. si trova nel buio più totale.,,,,,
Nanakia,its diet consists of tiny fishes and jellyfishes. scared by most predators.,se nourrit de petits poissons et méduses. craint les autres prédateurs.,se alimenta de pequeños peces y medusas. temido otros depredadores.,alimenta-se de pequenos peixes e medusas. temido a outros predadores.,si nutre di piccoli pesci e meduse. teme i predatori più grandi.,,,,,
Nenewiti,it is found in narrow caves. called little eye balls by the ancients.,se trouve dans les grottes étroites. appelé petits yeux par les anciens.,crece en cuevas estrechas. llamado ojos pequeños por los antiguos.,ela cresce em cavernas estreitas. chamados pequenos olhos para os idosos.,cresce nelle grotte strette. chiamato piccoli occhi dagli anziani.,,,,,
Nikaukau,named palm tree of the void by the ancients. it can be found in vast open spaces.,nommé palmier du vide par les anciens. on le trouve dans la vaste obscurité.,nombrado palma del vacío por los antiguos. crece en la inmensa oscuridad.,nomeado palma do vácuo pelos anciãos. cresce na vasta escuridão.,nominato palma del vuoto dagli anziani. cresce nel vasto buio.,,,,,
Nimoari,"big, scary teeth that should keep you away... hopefully. humans call it a fangtooth.","monstrueux et lent, donc dangereux mais contournable. les humains l'appelent poisson ogre.","monstruoso y lenta, tan peligroso, pero eludido.","monstruosa e lento, tão perigoso, mas contornada. os humanos têm chamado peixe ogro.","mostruoso e pericoloso, ma lento e aggirabile.",,,,,
Nimoariti,the baby nimoari bites less but it is faster!,un bébé nimoari. peut être moins effrayant mais plus rapide!,"un bebé nimoari. puede ser menos miedo, pero más rápido!","um bebê nimoari. pode ser menos assustador, mas mais rápido!",un bambino nimoari. può fare meno paura ma è piú veloce!,,,,,
Nogohika,this beauty lures you into her mouth with a light thingy. it's clearly a trap.,une lumière qui gigote dans l'obscurité? peut être pas bon signe.,retorciéndose luz en la oscuridad? no puede ser bueno.,contorcendo luz no escuro? pode não ser bom.,vedi una guizzante luce nel buio? meglio essere cauti.,,,,,
Opupu,"slow and fat, it only survives thanks to its stinging skin.","lent et gras, il ne survit que grace à sa peau urtiquente.","lento y gordo, sobrevive sólo gracias a su piel urtiquente.","lento e gordura, ele sobrevive apenas graças à sua pele urtiquente.","lento e grasso, questo pesce sopravvive solo grazie alla sua pelle urticante.",,,,,
Parakuka,parasitic worm feeding on your light. get rid of it with crystals or with the antiparasite ability.,ver parasite qui se nourrit de ta lumière. touche des cristaux ou utilise l'antiparasite pour t'en débarrasser.,se alimenta de su luz. tocar los cristales o utilizar el antiparásito para deshacerse de él.,verme parasita que se alimenta a sua luz. tocar cristais ou usa a antiparasita para se livrar dele.,un verme parassita che si nutre della tua luce. tocca un cristallo o utilizza l'anti parassita per sbarazzartene.,,,,,
Patapaihana,"careful! if you get too close, this cuttlefish will release a toxic cloud.",nage trop près de cette seiche et tu seras empoisonné!,"si te acercas demasiado, este sepulento lanzará una nube tóxica.","se você chegar muito perto, este choco irá liberar uma nuvem tóxica.","se ti avvicini troppo, questa seppia rilascerà una nube tossica.",,,,,
Piripi,a fast and harmless plankton eating fish. needs vast spaces to be happy.,"rapide et inoffensif, ce petit poisson se nourrit uniquement de plancton.","rápido y seguro, este pequeño pez come solamente plancton.","rápida e segura, este peixe pequeno só come plâncton.","veloce e sicuro, questo pesce mangia solo plancton.",,,,,
Ponionio,a deep-sea parent of what the humans call the flashlight fish.,un parent abyssal de ce que les humains nomment les anomalopidae.,un pariente abisal de una familia de peces que los humanos llaman ojos de linterna.,um parente abissal de uma família de peixes que os humanos chamam peixe lanterna.,un parente abissale di una famiglia di pesci che gli umani chiamano anomalopidae.,,,,,
Purahamama,a small sea anemone called yawning sparkle by the ancients because of its wide open mouth.,une petite anémone appelée étincelle baillante par les anciens à cause de sa bouche grande ouverte.,una pequeña anémona llamada chispa bostezante por los antiguos debido a su boca muy abierta.,uma pequena anêmona chamada faísca bocejante pelos antigos por causa de sua boca aberta.,un piccolo anemone chiamato dagli antichi scintilla sbadigliante per sua bocca spalancata.,,,,,
Purapaari,called wise spark of light because of its forehead. very nutritious.,appelée étincelle sage pour son grand front. très nourrissant.,llamado chispa sabia debido a su frente. muy nutritivo.,chamada faísca sábia por causa de sua testa. muito nutritivo.,chiamata saggia scintilla a causa della sua fronte. molto nutriente.,,,,,
Ramamate,called death lantern by the ancients. it lures small organisms into its luminous belly.,les anciens l'appelent lanterne de la mort. cette anémone attire avec sa lumière les petits organismes dans son ventre.,esta anémona atrae con su luz a los cuerpos pequeños en su vientre.,esta anêmona atrai com a sua luz pequenos corpos em seu ventre.,questa anemone attrae con la sua luce piccoli corpi nel suo grembo.,,,,,
Ramapingore,also called plantern. break its bulb to get some light. use the shockwave to break a group.,aussi appelé plantèrne. brise le sommet pour gagner de la lumière. utilise l'onde de choc pour un groupe.,también llamado planterna. rompe la parte superior para obtener más luz. utiliza la onda de choque para un grupo.,também chamado planterna. quebra o topo para mais luz. utiliza ondas de choque para um grupo.,chiamato anche planterna. rompi la parte luccicante per ottenere luce. utilizza l'onda d'urto per un gruppo.,,,,,
Rangaranga,a slow plankton eating creature. its hair and moustache sting a little.,"se nourrit de zooplanctons. attention, ses moustaches piquent un peu.",se alimenta de zooplancton. su bigote pica un poco.,alimenta-se de zooplâncton. seu bigode pica um pouco.,si nutre di zooplancton. attenzione i suoi baffi pungono!,,,,,
Ringamariko,it looks like a hand with small bioluminescent fingers. shake it if you want it won't hurt.,nommée main d'esprit par les anciens pour sa forme. serre-lui la pince en passant.,parece una mano con pequeños dedos bioluminiscentes.,parece uma mão com pequenos dedos bioluminescentes.,sembra una mano con piccole dita bioluminescenti.,,,,,
Roimatapera,the ancients call it tear of rotting flesh. it is as ugly as its name.,"traduit en humain, le nom de ce poisson signifie larme de chair putréfiée.","traducido en humano, el nombre del pez significa lagrima de carne podrida.","traduzidos em humanos, o nome do peixe significa lagrima de carne podre.","tradotto nella lingua umana, significa lacrima di carne in putrefazione.",,,,,
Taeroporo,"this toxic ball is in fact a fish. it's slow, poisonous, and eats jellyfishes.","les anciens l'appellent boule puante. poisson lent, mordillant, et toxique.","los antiguos le llaman bomba de olor. es lento, venenoso, y come medusas.","os antigos chamavam feder bomba. peixes lentamente, mordendo, e tóxico.",agli antichi lo chiamavano bomba puzza. pesce che cercherà di mordicchiarti e infettarti con la sua tossicità.,,,,,
Tarakona,"it's big, fast, scary, and lives in dark open spaces. avoid at all cost!",géante créature vivant dans l'obscurité totale. à éviter à tout prix!,criatura gigante que vive en la oscuridad total. evitar a toda costa!,criatura gigante vivendo na escuridão total. evitar a todo o custo!,"una gigantesca creatura che vive nel buio più totale, da evitare a tutti i costi!",,,,,
Taringanui,called vampire squid by the humans. it's actually a peaceful oceanic snow eater.,appelé vampire par les humans. se nourrit en fait de neige océanique et non pas de sang!,llamado vampiro por los humanos. en realidad se alimenta de la nieve océano!,chamado vampiro por humanos. alimenta-se realmente de neve oceano.,"chiamato vampiro dall'uomo, in realtà si nutre di neve oceanica.",,,,,
Tokehumenga,"this worm pretends to be an anemone, reason why the ancients named it the anemone worm.","ce ver se fait passer pour une anémone, raison pour laquelle les anciens l'ont nommé ""ver anémone"".","este gusano se hace pasar por una anémona, por lo que los antiguos lo llamaban ""gusano anémona"".","este verme finge ser uma anêmona, razão pela qual os antigos o chamavam de ""verme anêmona"".","questo verme finge di essere un anemone, motivo per cui gli antichi lo chiamavano ""verme di anemone"".",,,,,
Tokitaki,its human name is hatchetfish. please do not use this fish to cut wood. it only works with flesh.,appelé poisson hache par les humains. peu efficace pour couper du bois.,llamado pez hacha por los humanos. ineficaz para cortar madera.,chamados peixe machado por humanos. ineficaze para cortar madeira.,"chiamato pesce accetta dall'uomo, ma non è molto buono per tagliare il legno.",,,,,
Totokupiapia,slowly digests small fish glued to its glowing and viscous pimples.,digère lentement les petits poissons qui se collent à ses boutons visceux.,digiere lentamente los pequeños peces que se pegan a sus botones viscosos.,lentamente digere o pequeno peixe que furar a seus botões viscosos.,digerisce i piccoli pesci che si attaccano ai suoi pulsanti viscidi.,,,,,
Uganga,some say it looks like a skull but it's definitely a fish... and it bites hard.,une tête de mort avec un corps de poisson ?,"algunos dicen que se parece a un cráneo, pero es definitivamente un pez ... y muerde duro.","alguns dizem que parece um crânio, mas é definitivamente um peixe ... e ele morde muito.","alcuni dicono che assomiglia a un teschio, ma è sicuramente un pesce ... e morde duro.",,,,,
Unamaene,slow and weak predator. leave it alone and it will leave you alone.,peu dangereuse et pas très dégourdie. pas besoin de l'embêter.,lento y débil. déjalo solo y te dejará solo.,lento e fraco predador. deixá-lo sozinho e ele vai deixá-lo sozinho.,"è un predatore lento e debole, se li lasci in pace, loro ricambieranno.",,,,,
Wakakakao,the deep sea cousin of the piranha. not a rare encounter and very annoying!,le cousin abyssal du piranha. dangereux et sacrément casse-pieds.,el primo abisal de la piraña. no es un encuentro raro y muy molesto!,o primo abissal do piranha. não um encontro raro e muito chato!,"cugino del piranha, nel profondo mare. non è difficile da trovare ed è molto fastidioso.",,,,,
